Block at (0, 0) - Average Color, 220, 176,105 ,- Closest Color:, Reddish Orange Light, G#3
Block at (23, 0) - Average Color, 176, 169,111 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (46, 0) - Average Color, 147, 172,119 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (69, 0) - Average Color, 167, 182,94 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (92, 0) - Average Color, 186, 192,89 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (115, 0) - Average Color, 211, 192,76 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (138, 0) - Average Color, 217, 191,74 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (161, 0) - Average Color, 219, 186,68 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (184, 0) - Average Color, 216, 178,71 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (207, 0) - Average Color, 218, 176,77 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (230, 0) - Average Color, 205, 171,79 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (253, 0) - Average Color, 216, 182,51 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (276, 0) - Average Color, 206, 168,40 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (0, 23) - Average Color, 213, 148,111 ,- Closest Color:, Reddish Orange Light, G#3
Block at (23, 23) - Average Color, 150, 123,119 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (46, 23) - Average Color, 114, 142,130 ,- Closest Color:, Turquoise Darker, C#1
Block at (69, 23) - Average Color, 152, 182,100 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (92, 23) - Average Color, 173, 187,91 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (115, 23) - Average Color, 207, 203,80 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (138, 23) - Average Color, 205, 205,82 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (161, 23) - Average Color, 206, 194,77 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (184, 23) - Average Color, 204, 179,80 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (207, 23) - Average Color, 171, 151,140 ,- Closest Color:, Ultra Violet Darker, F#1
