Block at (0, 0) - Average Color, 172, 65,92 ,- Closest Color:, Darker Violet Light, F3
Block at (32, 0) - Average Color, 173, 63,86 ,- Closest Color:, Darker Violet Light, F3
Block at (64, 0) - Average Color, 174, 58,68 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (96, 0) - Average Color, 179, 61,70 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (128, 0) - Average Color, 179, 61,72 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (160, 0) - Average Color, 178, 73,76 ,- Closest Color:, Red Light, G3
Block at (192, 0) - Average Color, 189, 86,103 ,- Closest Color:, Red Light, G3
Block at (0, 32) - Average Color, 152, 74,84 ,- Closest Color:, Darker Violet Light, F3
Block at (32, 32) - Average Color, 140, 66,92 ,- Closest Color:, Darker Violet Light, F3
Block at (64, 32) - Average Color, 167, 60,72 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (96, 32) - Average Color, 174, 67,72 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (128, 32) - Average Color, 169, 65,80 ,- Closest Color:, Darker Violet Light, F3
Block at (160, 32) - Average Color, 100, 94,72 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (192, 32) - Average Color, 180, 122,105 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (0, 64) - Average Color, 121, 79,67 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (32, 64) - Average Color, 49, 59,76 ,- Closest Color:, Indigo Darker, D#1
Block at (64, 64) - Average Color, 164, 64,81 ,- Closest Color:, Darker Violet Light, F3
Block at (96, 64) - Average Color, 171, 69,81 ,- Closest Color:, Darker Violet Light, F3
Block at (128, 64) - Average Color, 133, 65,82 ,- Closest Color:, Darker Violet Dark, F2
Block at (160, 64) - Average Color, 80, 76,84 ,- Closest Color:, Darker Violet Darker, F1
Block at (192, 64) - Average Color, 183, 115,121 ,- Closest Color:, Ultra Violet Darker, F#1
Block at (0, 96) - Average Color, 104, 68,58 ,- Closest Color:, Darker Violet Darker, F1
Block at (32, 96) - Average Color, 40, 60,66 ,- Closest Color:, Indigo Darker, D#1
Block at (64, 96) - Average Color, 129, 76,85 ,- Closest Color:, Darker Violet Dark, F2
Block at (96, 96) - Average Color, 176, 81,94 ,- Closest Color:, Darker Violet Light, F3
Block at (128, 96) - Average Color, 129, 81,87 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (160, 96) - Average Color, 81, 64,83 ,- Closest Color:, Darker Violet Darker, F1
Block at (192, 96) - Average Color, 175, 109,130 ,- Closest Color:, Ultra Violet Darker, F#1
