Block at (0, 0) - Average Color, 174, 62,89 ,- Closest Color:, Darker Violet Light, F3
Block at (20, 0) - Average Color, 173, 63,88 ,- Closest Color:, Darker Violet Light, F3
Block at (40, 0) - Average Color, 173, 63,85 ,- Closest Color:, Darker Violet Light, F3
Block at (60, 0) - Average Color, 177, 56,67 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (80, 0) - Average Color, 177, 59,69 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (100, 0) - Average Color, 180, 60,70 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (120, 0) - Average Color, 180, 60,70 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (140, 0) - Average Color, 180, 61,71 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (160, 0) - Average Color, 182, 65,75 ,- Closest Color:, Red Light, G3
Block at (180, 0) - Average Color, 184, 72,86 ,- Closest Color:, Red Light, G3
Block at (200, 0) - Average Color, 194, 91,112 ,- Closest Color:, Red Light, G3
Block at (0, 20) - Average Color, 170, 71,98 ,- Closest Color:, Darker Violet Light, F3
Block at (20, 20) - Average Color, 157, 65,101 ,- Closest Color:, Darker Violet Light, F3
Block at (40, 20) - Average Color, 175, 69,92 ,- Closest Color:, Darker Violet Light, F3
Block at (60, 20) - Average Color, 173, 59,70 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (80, 20) - Average Color, 170, 61,70 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (100, 20) - Average Color, 178, 65,71 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (120, 20) - Average Color, 177, 61,72 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (140, 20) - Average Color, 176, 65,77 ,- Closest Color:, Darker Violet Light, F3
Block at (160, 20) - Average Color, 162, 80,73 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (180, 20) - Average Color, 155, 103,77 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (200, 20) - Average Color, 194, 97,116 ,- Closest Color:, Red Light, G3
Block at (0, 40) - Average Color, 158, 76,79 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (20, 40) - Average Color, 135, 69,82 ,- Closest Color:, Darker Violet Dark, F2
Block at (40, 40) - Average Color, 134, 68,93 ,- Closest Color:, Darker Violet Light, F3
Block at (60, 40) - Average Color, 161, 61,76 ,- Closest Color:, Darker Violet Light, F3
Block at (80, 40) - Average Color, 171, 62,71 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (100, 40) - Average Color, 175, 68,73 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (120, 40) - Average Color, 174, 64,74 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (140, 40) - Average Color, 165, 67,82 ,- Closest Color:, Darker Violet Light, F3
Block at (160, 40) - Average Color, 81, 84,79 ,- Closest Color:, Darker Violet Darker, F1
Block at (180, 40) - Average Color, 130, 129,70 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (200, 40) - Average Color, 194, 107,122 ,- Closest Color:, Red Light, G3
Block at (0, 60) - Average Color, 146, 85,70 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (20, 60) - Average Color, 92, 69,71 ,- Closest Color:, Darker Violet Darker, F1
Block at (40, 60) - Average Color, 62, 60,83 ,- Closest Color:, Darker Violet Darker, F1
Block at (60, 60) - Average Color, 154, 64,81 ,- Closest Color:, Darker Violet Light, F3
Block at (80, 60) - Average Color, 170, 61,73 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (100, 60) - Average Color, 168, 67,74 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (120, 60) - Average Color, 177, 66,80 ,- Closest Color:, Darker Violet Light, F3
Block at (140, 60) - Average Color, 122, 65,87 ,- Closest Color:, Darker Violet Dark, F2
Block at (160, 60) - Average Color, 61, 67,84 ,- Closest Color:, Indigo Dark, D#2
Block at (180, 60) - Average Color, 136, 118,87 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (200, 60) - Average Color, 196, 108,129 ,- Closest Color:, Ultra Violet Darker, F#1
Block at (0, 80) - Average Color, 147, 82,64 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (20, 80) - Average Color, 48, 64,63 ,- Closest Color:, Indigo Darker, D#1
Block at (40, 80) - Average Color, 42, 58,71 ,- Closest Color:, Indigo Darker, D#1
Block at (60, 80) - Average Color, 108, 69,93 ,- Closest Color:, Darker Violet Dark, F2
Block at (80, 80) - Average Color, 178, 62,78 ,- Closest Color:, Darker Violet Light, F3
Block at (100, 80) - Average Color, 172, 73,85 ,- Closest Color:, Darker Violet Light, F3
Block at (120, 80) - Average Color, 175, 77,92 ,- Closest Color:, Darker Violet Light, F3
Block at (140, 80) - Average Color, 97, 62,73 ,- Closest Color:, Darker Violet Darker, F1
Block at (160, 80) - Average Color, 68, 60,77 ,- Closest Color:, Darker Violet Darker, F1
Block at (180, 80) - Average Color, 125, 93,101 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (200, 80) - Average Color, 194, 113,137 ,- Closest Color:, Ultra Violet Darker, F#1
Block at (0, 100) - Average Color, 134, 70,59 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (20, 100) - Average Color, 46, 62,58 ,- Closest Color:, Indigo Darker, D#1
Block at (40, 100) - Average Color, 39, 60,67 ,- Closest Color:, Indigo Darker, D#1
Block at (60, 100) - Average Color, 71, 72,84 ,- Closest Color:, Darker Violet Darker, F1
Block at (80, 100) - Average Color, 176, 73,86 ,- Closest Color:, Darker Violet Light, F3
