Block at (0, 0) - Average Color, 211, 171, 110 - Closest Color: Reddish Orange Light, G#3
Block at (30, 0) - Average Color, 150, 164, 122 - Closest Color: Ultra Violet Darker, F#1
Block at (60, 0) - Average Color, 161, 177, 98 - Closest Color: Lemon Yellow Darker, B1
Block at (90, 0) - Average Color, 189, 192, 87 - Closest Color: Lemon Yellow Dark, B2
Block at (120, 0) - Average Color, 211, 194, 77 - Closest Color: Lemon Yellow Dark, B2
Block at (150, 0) - Average Color, 218, 190, 69 - Closest Color: Lemon Yellow Dark, B2
Block at (180, 0) - Average Color, 215, 180, 77 - Closest Color: Lemon Yellow Dark, B2
Block at (210, 0) - Average Color, 200, 169, 95 - Closest Color: Lemon Yellow Dark, B2
Block at (240, 0) - Average Color, 207, 171, 66 - Closest Color: Lemon Yellow Dark, B2
Block at (270, 0) - Average Color, 209, 172, 45 - Closest Color: Lemon Yellow Dark, B2
Block at (0, 30) - Average Color, 199, 137, 111 - Closest Color: Red Light, G3
Block at (30, 30) - Average Color, 125, 110, 120 - Closest Color: Darker Violet Light, F3
Block at (60, 30) - Average Color, 125, 161, 105 - Closest Color: Lemon Yellow Darker, B1
Block at (90, 30) - Average Color, 168, 186, 93 - Closest Color: Lemon Yellow Dark, B2
Block at (120, 30) - Average Color, 197, 199, 80 - Closest Color: Lemon Yellow Dark, B2
Block at (150, 30) - Average Color, 191, 198, 88 - Closest Color: Lemon Yellow Dark, B2
Block at (180, 30) - Average Color, 185, 168, 96 - Closest Color: Lemon Yellow Dark, B2
Block at (210, 30) - Average Color, 180, 147, 117 - Closest Color: Lemon Yellow Darker, B1
Block at (240, 30) - Average Color, 192, 161, 78 - Closest Color: Lemon Yellow Dark, B2
Block at (270, 30) - Average Color, 206, 162, 44 - Closest Color: Lemon Yellow Dark, B2
Block at (0, 60) - Average Color, 169, 145, 113 - Closest Color: Lemon Yellow Darker, B1
Block at (30, 60) - Average Color, 129, 104, 103 - Closest Color: Lemon Yellow Darker, B1
Block at (60, 60) - Average Color, 87, 124, 95 - Closest Color: Turquoise Darker, C#1
Block at (90, 60) - Average Color, 99, 155, 120 - Closest Color: Turquoise Darker, C#1
Block at (120, 60) - Average Color, 75, 172, 131 - Closest Color: Turquoise Dark, C#2
Block at (150, 60) - Average Color, 108, 177, 115 - Closest Color: Green Light, C3
Block at (180, 60) - Average Color, 126, 154, 120 - Closest Color: Lemon Yellow Darker, B1
Block at (210, 60) - Average Color, 177, 156, 88 - Closest Color: Lemon Yellow Darker, B1
Block at (240, 60) - Average Color, 195, 145, 74 - Closest Color: Lemon Yellow Darker, B1
Block at (270, 60) - Average Color, 199, 159, 57 - Closest Color: Lemon Yellow Dark, B2
Block at (0, 90) - Average Color, 115, 145, 105 - Closest Color: Lemon Yellow Darker, B1
Block at (30, 90) - Average Color, 122, 120, 96 - Closest Color: Lemon Yellow Darker, B1
Block at (60, 90) - Average Color, 100, 99, 98 - Closest Color: Lemon Yellow Darker, B1
Block at (90, 90) - Average Color, 101, 107, 129 - Closest Color: Indigo Light, D#3
Block at (120, 90) - Average Color, 134, 151, 110 - Closest Color: Lemon Yellow Darker, B1
Block at (150, 90) - Average Color, 143, 178, 96 - Closest Color: Lemon Yellow Darker, B1
Block at (180, 90) - Average Color, 153, 142, 88 - Closest Color: Lemon Yellow Darker, B1
Block at (210, 90) - Average Color, 148, 159, 124 - Closest Color: Ultra Violet Darker, F#1
Block at (240, 90) - Average Color, 194, 164, 79 - Closest Color: Lemon Yellow Dark, B2
Block at (270, 90) - Average Color, 191, 157, 52 - Closest Color: Lemon Yellow Darker, B1
