Block at (0, 0) - Average Color, 103, 136,113 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (23, 0) - Average Color, 149, 141,83 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (46, 0) - Average Color, 199, 171,68 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (69, 0) - Average Color, 224, 194,80 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (92, 0) - Average Color, 231, 193,61 ,- Closest Color:, YELLOW, A#
Block at (115, 0) - Average Color, 218, 189,58 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (138, 0) - Average Color, 207, 189,84 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (161, 0) - Average Color, 134, 169,85 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (184, 0) - Average Color, 56, 157,95 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 0) - Average Color, 33, 162,146 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 0) - Average Color, 66, 148,61 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (253, 0) - Average Color, 139, 165,68 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (276, 0) - Average Color, 172, 177,23 ,- Closest Color:, Yellow Darker, A#1
Block at (0, 23) - Average Color, 58, 109,144 ,- Closest Color:, Turquoise Darker, C#1
Block at (23, 23) - Average Color, 96, 101,125 ,- Closest Color:, Indigo Light, D#3
Block at (46, 23) - Average Color, 140, 137,79 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (69, 23) - Average Color, 207, 188,76 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (92, 23) - Average Color, 206, 178,69 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (115, 23) - Average Color, 146, 136,66 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (138, 23) - Average Color, 174, 161,112 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (161, 23) - Average Color, 176, 136,149 ,- Closest Color:, Ultra Violet Darker, F#1
Block at (184, 23) - Average Color, 67, 164,169 ,- Closest Color:, Turquoise Dark, C#2
Block at (207, 23) - Average Color, 35, 151,175 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 23) - Average Color, 119, 120,84 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (253, 23) - Average Color, 159, 136,52 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (276, 23) - Average Color, 138, 162,46 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (0, 46) - Average Color, 52, 107,164 ,- Closest Color:, Turquoise Darker, C#1
Block at (23, 46) - Average Color, 74, 78,112 ,- Closest Color:, Blue Darker, D1
Block at (46, 46) - Average Color, 71, 86,116 ,- Closest Color:, Blue Darker, D1
Block at (69, 46) - Average Color, 154, 159,84 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (92, 46) - Average Color, 124, 120,96 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (115, 46) - Average Color, 190, 126,94 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (138, 46) - Average Color, 204, 184,114 ,- Closest Color:, Reddish Orange Light, G#3
Block at (161, 46) - Average Color, 183, 162,135 ,- Closest Color:, Reddish Orange Light, G#3
Block at (184, 46) - Average Color, 95, 174,162 ,- Closest Color:, Turquoise Dark, C#2
Block at (207, 46) - Average Color, 80, 118,146 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 46) - Average Color, 143, 80,61 ,- Closest Color:, Orange Darker, A1
Block at (253, 46) - Average Color, 120, 74,49 ,- Closest Color:, Orange Darker, A1
Block at (276, 46) - Average Color, 95, 102,67 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (0, 69) - Average Color, 71, 147,157 ,- Closest Color:, Turquoise Darker, C#1
Block at (23, 69) - Average Color, 66, 81,107 ,- Closest Color:, Blue Darker, D1
Block at (46, 69) - Average Color, 55, 74,99 ,- Closest Color:, Blue Darker, D1
Block at (69, 69) - Average Color, 54, 98,137 ,- Closest Color:, Turquoise Darker, C#1
Block at (92, 69) - Average Color, 70, 103,137 ,- Closest Color:, Turquoise Darker, C#1
Block at (115, 69) - Average Color, 203, 145,135 ,- Closest Color:, Reddish Orange Light, G#3
Block at (138, 69) - Average Color, 189, 179,118 ,- Closest Color:, Reddish Orange Light, G#3
Block at (161, 69) - Average Color, 138, 181,148 ,- Closest Color:, Turquoise Dark, C#2
Block at (184, 69) - Average Color, 83, 188,155 ,- Closest Color:, Turquoise Dark, C#2
Block at (207, 69) - Average Color, 98, 93,123 ,- Closest Color:, Indigo Light, D#3
Block at (230, 69) - Average Color, 63, 55,50 ,- Closest Color:, Darker Violet Darker, F1
Block at (253, 69) - Average Color, 89, 49,51 ,- Closest Color:, Darker Violet Darker, F1
Block at (276, 69) - Average Color, 45, 116,113 ,- Closest Color:, Turquoise Darker, C#1
Block at (0, 92) - Average Color, 91, 182,153 ,- Closest Color:, Turquoise Dark, C#2
Block at (23, 92) - Average Color, 143, 143,100 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (46, 92) - Average Color, 95, 129,92 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (69, 92) - Average Color, 45, 85,103 ,- Closest Color:, Blue Darker, D1
Block at (92, 92) - Average Color, 54, 85,115 ,- Closest Color:, Blue Darker, D1
Block at (115, 92) - Average Color, 184, 172,89 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (138, 92) - Average Color, 165, 192,108 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (161, 92) - Average Color, 88, 155,158 ,- Closest Color:, Turquoise Dark, C#2
Block at (184, 92) - Average Color, 40, 72,100 ,- Closest Color:, Blue Darker, D1
Block at (207, 92) - Average Color, 31, 72,66 ,- Closest Color:, Indigo Darker, D#1
Block at (230, 92) - Average Color, 20, 90,63 ,- Closest Color:, Green Darker, C1
Block at (253, 92) - Average Color, 52, 125,95 ,- Closest Color:, Turquoise Darker, C#1
Block at (276, 92) - Average Color, 53, 166,136 ,- Closest Color:, Turquoise Darker, C#1
Block at (0, 115) - Average Color, 176, 192,99 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (23, 115) - Average Color, 185, 186,93 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (46, 115) - Average Color, 114, 185,106 ,- Closest Color:, Green Light, C3
Block at (69, 115) - Average Color, 62, 109,133 ,- Closest Color:, Turquoise Darker, C#1
Block at (92, 115) - Average Color, 101, 114,104 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (115, 115) - Average Color, 192, 171,98 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (138, 115) - Average Color, 132, 185,144 ,- Closest Color:, Green Light, C3
Block at (161, 115) - Average Color, 55, 172,172 ,- Closest Color:, Turquoise Dark, C#2
Block at (184, 115) - Average Color, 58, 92,103 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 115) - Average Color, 27, 115,93 ,- Closest Color:, Turquoise Darker, C#1
